enddate,pollster,grade,approve,week
2017-02-14,Ipsos,B-,45.3,1707
2017-02-13,YouGov,B,42,1707
2017-02-13,Harris Poll,C,48,1707
2017-02-13,Gallup,B,40,1707
2017-02-13,Fox News,A-,48,1707
2017-02-14,YouGov,B,43,1707
2017-02-14,Gallup,B,40,1707
2017-02-15,Ipsos,B-,45.8,1707
2017-02-14,YouGov,B,38,1707
2017-02-14,Rasmussen Reports/Pulse Opinion Research,C+,53,1707
2017-02-15,Gallup,B,40,1707
2017-02-16,Ipsos,B-,45.9,1707
2017-02-15,Rasmussen Reports/Pulse Opinion Research,C+,55,1707
2017-02-15,YouGov,B,41,1707
2017-02-16,Gallup,B,38,1707
2017-02-17,SurveyMonkey,D-,45,1707
2017-02-16,Rasmussen Reports/Pulse Opinion Research,C+,55,1707
2017-02-16,YouGov,B,37,1707
2017-02-17,Ipsos,B-,45.1,1707
2017-02-18,Ipsos,B-,44.3,1707
2017-02-19,SurveyMonkey,D-,43,1707
2017-02-17,YouGov,B,43,1707
2017-02-19,Kaiser Family Foundation,,41,1707
2017-02-17,Gallup,B,40,1707
2017-02-19,Marist College,A+,39,1707
2017-02-19,Rasmussen Reports/Pulse Opinion Research,C+,51,1707
2017-02-19,Ipsos,B-,45.3,1707
2017-02-18,Gallup,B,41,1707
2017-02-18,YouGov,B,41,1707
2017-02-18,YouGov,B,41,1707
2017-02-20,McLaughlin & Associates,C/D,51,1708
2017-02-19,Gallup,B,42,1707
2017-02-19,YouGov,B,38,1707
2017-02-20,Ipsos,B-,45.5,1708
2017-02-19,Morning Consult,B/C,49,1707
2017-02-20,Rasmussen Reports/Pulse Opinion Research,C+,50,1708
2017-02-21,Ipsos,B-,45.1,1708
2017-02-20,Gallup,B,41,1708
2017-02-21,Quinnipiac University,B+,38,1708
2017-02-20,YouGov,B,40,1708
2017-02-20,American Research Group,B,43,1708
2017-02-21,CBS News,A,39,1708
2017-02-21,Rasmussen Reports/Pulse Opinion Research,C+,51,1708
2017-02-22,Ipsos,B-,46,1708
2017-02-23,SurveyMonkey,D-,44,1708
2017-02-22,YouGov,B,43,1708
2017-02-22,NBC News/The Wall Street Journal,A-,44,1708
2017-02-21,Gallup,B,42,1708
2017-02-22,YouGov,B,42,1708
2017-02-23,Ipsos,B-,45.8,1708
2017-02-22,Gallup,B,43,1708
2017-02-22,Rasmussen Reports/Pulse Opinion Research,C+,52,1708
2017-02-23,Rasmussen Reports/Pulse Opinion Research,C+,53,1708
2017-02-22,Public Policy Polling,B,45,1708
2017-02-24,Ipsos,B-,45.1,1708
2017-02-23,Gallup,B,43,1708
2017-02-25,Ipsos,B-,45.1,1708
2017-02-24,YouGov,B,40,1708
2017-02-24,Gallup,B,41,1708
2017-02-26,Rasmussen Reports/Pulse Opinion Research,C+,51,1708
2017-02-25,YouGov,B,40,1708
2017-02-25,Gallup,B,41,1708
2017-02-26,Ipsos,B-,45.6,1708
2017-02-27,Rasmussen Reports/Pulse Opinion Research,C+,50,1709
2017-02-26,YouGov,B,42,1708
2017-02-27,Ipsos,B-,46.1,1709
2017-02-26,Gallup,B,42,1708
2017-02-26,Morning Consult,B/C,50,1708
2017-02-28,Ipsos,B-,46.1,1709
2017-02-27,Gallup,B,42,1709
2017-02-27,YouGov,B,41,1709
2017-02-28,YouGov,B,42,1709
2017-02-28,Gallup,B,43,1709
2017-02-28,Rasmussen Reports/Pulse Opinion Research,C+,50,1709
2017-03-01,YouGov,B,41,1709
2017-03-01,Ipsos,B-,45.7,1709
2017-03-02,SurveyMonkey,D-,45,1709
2017-03-04,IBD/TIPP,A/B,41,1709
2017-03-02,Ipsos,B-,45.8,1709
2017-03-01,Rasmussen Reports/Pulse Opinion Research,C+,52,1709
2017-03-01,YouGov,B,43,1709
2017-03-01,Gallup,B,43,1709
2017-03-02,YouGov,B,46,1709
2017-03-03,Ipsos,B-,45.6,1709
2017-03-02,Gallup,B,43,1709
2017-03-02,Rasmussen Reports/Pulse Opinion Research,C+,53,1709
2017-03-03,Gallup,B,43,1709
2017-03-04,Ipsos,B-,45.4,1709
2017-03-03,YouGov,B,44,1709
2017-03-04,CNN/Opinion Research Corp.,B+,45,1709
2017-03-05,Ipsos,B-,46.8,1709
2017-03-04,Gallup,B,43,1709
2017-03-05,SurveyMonkey,D-,48,1709
2017-03-05,Suffolk University,A,46.9,1709
2017-03-05,Rasmussen Reports/Pulse Opinion Research,C+,52,1709
2017-03-04,YouGov,B,41,1709
2017-03-06,Rasmussen Reports/Pulse Opinion Research,C+,51,1710
2017-03-05,Gallup,B,44,1709
2017-03-05,Monmouth University,A+,43,1709
2017-03-06,Ipsos,B-,47.6,1710
2017-03-05,YouGov,B,42,1709
2017-03-06,Quinnipiac University,B+,41,1710
2017-03-06,Morning Consult,B/C,50,1710
2017-03-07,Garin-Hart-Yang/Global Strategy Group,,45,1710
2017-03-07,Ipsos,B-,47.6,1710
2017-03-06,YouGov,B,40,1710
2017-03-06,Ipsos,B-,40,1710
2017-03-06,Gallup,B,43,1710
2017-03-09,SurveyMonkey,D-,47,1710
2017-03-07,YouGov,B,40,1710
2017-03-12,Pew Research Center,B/C,43,1710
2017-03-08,Ipsos,B-,48.3,1710
2017-03-07,Gallup,B,42,1710
2017-03-07,Rasmussen Reports/Pulse Opinion Research,C+,49,1710
2017-03-07,YouGov,B,42,1710
2017-03-09,Ipsos,B-,49,1710
2017-03-11,Saint Leo University,C/D,44,1710
2017-03-08,YouGov,B,42,1710
2017-03-08,Rasmussen Reports/Pulse Opinion Research,C+,49,1710
2017-03-08,Gallup,B,41,1710
2017-03-09,Gallup,B,42,1710
2017-03-10,Ipsos,B-,48.7,1710
2017-03-09,Rasmussen Reports/Pulse Opinion Research,C+,48,1710
2017-03-09,YouGov,B,39,1710
2017-03-12,Kaiser Family Foundation,,36,1710
2017-03-11,Ipsos,B-,47.9,1710
2017-03-10,Gallup,B,44,1710
2017-03-10,YouGov,B,40,1710
2017-03-11,Gallup,B,45,1710
2017-03-12,Ipsos,B-,47.1,1710
2017-03-12,Rasmussen Reports/Pulse Opinion Research,C+,47,1710
2017-03-11,YouGov,B,42,1710
2017-03-12,Public Policy Polling,B,43,1710
2017-03-13,Morning Consult,B/C,52,1711
2017-03-13,Ipsos,B-,46.9,1711
2017-03-13,Rasmussen Reports/Pulse Opinion Research,C+,46,1711
2017-03-12,YouGov,B,39,1710
2017-03-12,Gallup,B,42,1710
2017-03-13,YouGov,B,43,1711
2017-03-13,Gallup,B,39,1711
2017-03-14,Ipsos,B-,45.3,1711
2017-03-14,Rasmussen Reports/Pulse Opinion Research,C+,45,1711
2017-03-14,Gallup,B,40,1711
2017-03-15,Ipsos,B-,44.5,1711
2017-03-16,SurveyMonkey,D-,46,1711
2017-03-14,Fox News,A-,43,1711
2017-03-14,YouGov,B,41,1711
2017-03-15,Gallup,B,42,1711
2017-03-15,YouGov,B,39,1711
2017-03-16,Ipsos,B-,44.2,1711
2017-03-15,Rasmussen Reports/Pulse Opinion Research,C+,47,1711
2017-03-17,Ipsos,B-,44.4,1711
2017-03-16,Gallup,B,41,1711
2017-03-16,Rasmussen Reports/Pulse Opinion Research,C+,48,1711
2017-03-16,icitizen,,42,1711
2017-03-16,Harris Poll,C,49,1711
2017-03-16,YouGov,B,40,1711
2017-03-18,Ipsos,B-,42.4,1711
2017-03-17,Gallup,B,40,1711
2017-03-17,YouGov,B,43,1711
2017-03-19,Rasmussen Reports/Pulse Opinion Research,C+,49,1711
2017-03-18,YouGov,B,42,1711
2017-03-18,Gallup,B,37,1711
2017-03-19,Ipsos,B-,44.8,1711
2017-03-17,Winston Group,B/C,40,1711
2017-03-20,McLaughlin & Associates,C/D,49,1712
2017-03-19,Gallup,B,39,1711
2017-03-19,YouGov,B,42,1711
2017-03-20,Rasmussen Reports/Pulse Opinion Research,C+,50,1712
2017-03-20,Ipsos,B-,45.7,1712
2017-03-19,Morning Consult,B/C,50,1711
2017-03-20,American Research Group,B,41,1712
2017-03-21,Ipsos,B-,46.3,1712
2017-03-21,Quinnipiac University,B+,37,1712
2017-03-20,YouGov,B,43,1712
2017-03-20,Gallup,B,39,1712
2017-03-21,Gallup,B,40,1712
2017-03-21,YouGov,B,40,1712
2017-03-23,SurveyMonkey,D-,42,1712
2017-03-21,Rasmussen Reports/Pulse Opinion Research,C+,46,1712
2017-03-21,YouGov,B,41,1712
2017-03-22,Ipsos,B-,45.9,1712
2017-03-22,Gallup,B,39,1712
2017-03-23,Ipsos,B-,48,1712
2017-03-22,YouGov,B,40,1712
2017-03-22,Rasmussen Reports/Pulse Opinion Research,C+,47,1712
2017-03-23,icitizen,,37,1712
2017-03-23,Rasmussen Reports/Pulse Opinion Research,C+,44,1712
2017-03-23,YouGov,B,40,1712
2017-03-23,Gallup,B,41,1712
2017-03-24,Ipsos,B-,46.2,1712
2017-03-24,Gallup,B,41,1712
2017-03-25,Ipsos,B-,46,1712
2017-03-24,YouGov,B,40,1712
2017-03-25,YouGov,B,39,1712
2017-03-26,Rasmussen Reports/Pulse Opinion Research,C+,45,1712
2017-03-25,Gallup,B,40,1712
2017-03-26,Ipsos,B-,44.2,1712
2017-03-27,Garin-Hart-Yang/Global Strategy Group,,39,1713
2017-03-26,Gallup,B,36,1712
2017-03-27,Marist College,A+,37,1713
2017-03-27,Ipsos,B-,44.5,1713
2017-03-26,YouGov,B,39,1712
2017-03-25,Morning Consult,B/C,45,1712
2017-03-27,AP-NORC,,42,1713
2017-03-27,Rasmussen Reports/Pulse Opinion Research,C+,45,1713
2017-03-27,YouGov,B,41,1713
2017-03-28,Ipsos,B-,43.4,1713
2017-03-27,Gallup,B,36,1713
2017-03-28,Rasmussen Reports/Pulse Opinion Research,C+,44,1713
2017-03-30,IBD/TIPP,A/B,34,1713
2017-03-28,YouGov,B,41,1713
2017-03-28,CBS News,A,40,1713
2017-03-28,YouGov,B,37,1713
2017-03-28,Gallup,B,35,1713
2017-03-29,Ipsos,B-,45,1713
2017-03-30,SurveyMonkey,D-,44,1713
2017-03-29,YouGov,B,37,1713
2017-03-29,Gallup,B,38,1713
2017-03-28,Public Policy Polling,B,40,1713
2017-03-29,icitizen,,33,1713
2017-03-29,Zogby Analytics,C+,40,1713
2017-03-30,Ipsos,B-,45.5,1713
2017-03-29,Rasmussen Reports/Pulse Opinion Research,C+,44,1713
2017-03-30,Gallup,B,38,1713
2017-03-31,Ipsos,B-,47.2,1713
2017-03-30,Rasmussen Reports/Pulse Opinion Research,C+,43,1713
2017-03-30,YouGov,B,39,1713
2017-03-31,Gallup,B,40,1713
2017-03-31,YouGov,B,39,1713
2017-04-01,Ipsos,B-,47.3,1713
2017-04-02,Ipsos,B-,47.4,1713
2017-04-01,Morning Consult,B/C,47,1713
2017-04-01,YouGov,B,38,1713
2017-04-01,Gallup,B,38,1713
2017-04-02,Rasmussen Reports/Pulse Opinion Research,C+,42,1713
2017-04-03,Kaiser Family Foundation,,41,1714
2017-04-03,Ipsos,B-,46.2,1714
2017-04-03,Quinnipiac University,B+,35,1714
2017-04-02,YouGov,B,37,1713
2017-04-03,Rasmussen Reports/Pulse Opinion Research,C+,43,1714
2017-04-02,Gallup,B,38,1713
2017-04-03,YouGov,B,38,1714
2017-04-04,Ipsos,B-,45.5,1714
2017-04-03,Gallup,B,39,1714
2017-04-04,Rasmussen Reports/Pulse Opinion Research,C+,46,1714
2017-04-04,YouGov,B,40,1714
2017-04-05,Ipsos,B-,45,1714
2017-04-06,SurveyMonkey,D-,42,1714
2017-04-04,Gallup,B,42,1714
2017-04-04,YouGov,B,39,1714
2017-04-05,YouGov,B,42,1714
2017-04-06,Ipsos,B-,44.3,1714
2017-04-05,icitizen,,35,1714
2017-04-05,Rasmussen Reports/Pulse Opinion Research,C+,46,1714
2017-04-05,Gallup,B,41,1714
2017-04-06,Rasmussen Reports/Pulse Opinion Research,C+,45,1714
2017-04-06,YouGov,B,39,1714
2017-04-06,Gallup,B,40,1714
2017-04-07,Ipsos,B-,44.2,1714
2017-04-06,CNBC/Hart Research/Public Opinion Strategies,A-,39,1714
2017-04-07,Gallup,B,40,1714
2017-04-08,Ipsos,B-,45.4,1714
2017-04-07,YouGov,B,38,1714
2017-04-08,Gallup,B,40,1714
2017-04-09,Ipsos,B-,46.5,1714
2017-04-08,YouGov,B,38,1714
2017-04-09,Rasmussen Reports/Pulse Opinion Research,C+,44,1714
2017-04-09,Gallup,B,40,1714
2017-04-11,Pew Research Center,B/C,39,1715
2017-04-09,Morning Consult,B/C,48,1714
2017-04-09,CBS News,A,43,1714
2017-04-10,Rasmussen Reports/Pulse Opinion Research,C+,47,1715
2017-04-10,Ipsos,B-,48,1715
2017-04-10,Gallup,B,40,1715
2017-04-11,Ipsos,B-,48.5,1715
2017-04-10,YouGov,B,43,1715
2017-04-11,Gallup,B,41,1715
2017-04-11,Rasmussen Reports/Pulse Opinion Research,C+,47,1715
2017-04-13,SurveyMonkey,D-,44,1715
2017-04-12,Ipsos,B-,47.5,1715
2017-04-11,YouGov,B,40,1715
2017-04-12,Rasmussen Reports/Pulse Opinion Research,C+,48,1715
2017-04-11,YouGov,B,40,1715
2017-04-13,Ipsos,B-,47,1715
2017-04-12,icitizen,,35,1715
2017-04-12,YouGov,B,42,1715
2017-04-18,Pew Research Center,B/C,39,1716
2017-04-12,Gallup,B,40,1715
2017-04-13,YouGov,B,40,1715
2017-04-14,Ipsos,B-,45.9,1715
2017-04-13,Rasmussen Reports/Pulse Opinion Research,C+,48,1715
2017-04-12,Marist College,A+,39,1715
2017-04-13,Gallup,B,40,1715
2017-04-14,YouGov,B,42,1715
2017-04-15,Ipsos,B-,44.7,1715
2017-04-14,Gallup,B,39,1715
2017-04-16,Rasmussen Reports/Pulse Opinion Research,C+,50,1715
2017-04-15,YouGov,B,42,1715
2017-04-15,Gallup,B,41,1715
2017-04-16,Ipsos,B-,44.4,1715
2017-04-15,Morning Consult,B/C,48,1715
2017-04-17,Rasmussen Reports/Pulse Opinion Research,C+,50,1716
2017-04-17,Ipsos,B-,43.2,1716
2017-04-18,Quinnipiac University,B+,40,1716
2017-04-18,Ipsos,B-,42.4,1716
2017-04-17,Gallup,B,41,1716
2017-04-17,Harris Poll,C,48,1716
2017-04-20,SurveyMonkey,D-,45,1716
2017-04-18,YouGov,B,41,1716
2017-04-18,YouGov,B,43,1716
2017-04-18,Gallup,B,42,1716
2017-04-18,Rasmussen Reports/Pulse Opinion Research,C+,48,1716
2017-04-19,Ipsos,B-,42,1716
2017-04-19,Gallup,B,43,1716
2017-04-19,YouGov,B,41,1716
2017-04-18,Public Policy Polling,B,43,1716
2017-04-19,Rasmussen Reports/Pulse Opinion Research,C+,49,1716
2017-04-18,icitizen,,34,1716
2017-04-20,Ipsos,B-,41.6,1716
2017-04-20,Rasmussen Reports/Pulse Opinion Research,C+,49,1716
2017-04-20,NBC News/The Wall Street Journal,A-,40,1716
2017-04-20,American Research Group,B,39,1716
2017-04-25,USC Dornsife/Los Angeles Times,B/C,39,1717
2017-04-20,Gallup,B,43,1716
2017-04-20,YouGov,B,40,1716
2017-04-21,Ipsos,B-,39.8,1716
2017-04-20,ABC News/The Washington Post,A+,42,1716
2017-04-23,Kaiser Family Foundation,,45,1716
2017-04-21,Gallup,B,42,1716
2017-04-21,YouGov,B,46,1716
2017-04-20,Gravis Marketing,C,42,1716
2017-04-22,Ipsos,B-,40.1,1716
2017-04-23,Rasmussen Reports/Pulse Opinion Research,C+,51,1716
2017-04-23,Ipsos,B-,40,1716
2017-04-22,Gallup,B,40,1716
2017-04-24,McLaughlin & Associates,C/D,49,1717
2017-04-23,YouGov,B,43,1716
2017-04-24,Rasmussen Reports/Pulse Opinion Research,C+,47,1717
2017-04-24,Morning Consult,B/C,51,1717
2017-04-23,Gallup,B,40,1716
2017-04-24,Ipsos,B-,39.7,1717
2017-04-24,Gallup,B,40,1717
2017-04-25,Ipsos,B-,40.5,1717
2017-04-24,CBS News,A,41,1717
2017-04-24,YouGov,B,41,1717
2017-04-25,Gallup,B,39,1717
2017-04-25,Fox News,A-,45,1717
2017-04-25,YouGov,B,42,1717
2017-04-25,CNN/Opinion Research Corp.,B+,44,1717
2017-04-25,YouGov,B,41,1717
2017-04-26,Ipsos,B-,41.7,1717
2017-04-25,Rasmussen Reports/Pulse Opinion Research,C+,46,1717
2017-04-27,SurveyMonkey,D-,46,1717
2017-04-26,Rasmussen Reports/Pulse Opinion Research,C+,45,1717
2017-04-26,Gallup,B,40,1717
2017-04-26,YouGov,B,40,1717
2017-04-27,Ipsos,B-,41.5,1717
2017-04-27,Gallup,B,43,1717
2017-04-27,YouGov,B,41,1717
2017-04-27,icitizen,,32,1717
2017-04-27,Rasmussen Reports/Pulse Opinion Research,C+,47,1717
2017-04-28,Ipsos,B-,41.9,1717
2017-04-28,YouGov,B,42,1717
2017-04-28,Gallup,B,43,1717
2017-04-29,Ipsos,B-,42.6,1717
2017-04-29,Gallup,B,42,1717
2017-04-29,YouGov,B,38,1717
2017-04-30,Rasmussen Reports/Pulse Opinion Research,C+,47,1717
2017-04-30,Ipsos,B-,43,1717
2017-04-29,Zogby Analytics,C+,44,1717
2017-04-30,Morning Consult,B/C,48,1717
2017-05-01,Rasmussen Reports/Pulse Opinion Research,C+,48,1718
2017-04-30,Gallup,B,41,1717
2017-04-30,YouGov,B,43,1717
2017-05-01,Ipsos,B-,43.6,1718
2017-05-01,YouGov,B,41,1718
2017-05-02,Ipsos,B-,43.4,1718
2017-05-01,Gallup,B,42,1718
2017-05-04,SurveyMonkey,D-,45,1718
2017-05-02,YouGov,B,43,1718
2017-05-02,Gallup,B,42,1718
2017-05-02,YouGov,B,40,1718
2017-05-04,IBD/TIPP,A/B,39,1718
2017-05-03,Ipsos,B-,43.4,1718
2017-05-02,Rasmussen Reports/Pulse Opinion Research,C+,49,1718
2017-05-04,Ipsos,B-,43.2,1718
2017-05-03,Rasmussen Reports/Pulse Opinion Research,C+,48,1718
2017-05-03,YouGov,B,40,1718
2017-05-04,Rasmussen Reports/Pulse Opinion Research,C+,46,1718
2017-05-04,YouGov,B,40,1718
2017-05-04,Gallup,B,42,1718
2017-05-05,Ipsos,B-,43.6,1718
2017-05-05,Gallup,B,40,1718
2017-05-05,Gallup,B,40,1718
2017-05-05,YouGov,B,40,1718
2017-05-06,Ipsos,B-,42.3,1718
2017-05-07,Ipsos,B-,42.9,1718
2017-05-07,Rasmussen Reports/Pulse Opinion Research,C+,45,1718
2017-05-06,YouGov,B,40,1718
2017-05-06,Morning Consult,B/C,44,1718
2017-05-06,Gallup,B,40,1718
2017-05-08,Ipsos,B-,42.8,1719
2017-05-07,YouGov,B,42,1718
2017-05-08,Rasmussen Reports/Pulse Opinion Research,C+,46,1719
2017-05-07,Gallup,B,42,1718
2017-05-08,Gallup,B,40,1719
2017-05-08,YouGov,B,37,1719
2017-05-09,Ipsos,B-,42.5,1719
2017-05-09,Quinnipiac University,B+,36,1719
2017-05-10,Ipsos,B-,41,1719
2017-05-11,SurveyMonkey,D-,43,1719
2017-05-09,YouGov,B,41,1719
2017-05-09,YouGov,B,43,1719
2017-05-09,Gallup,B,40,1719
2017-05-09,Rasmussen Reports/Pulse Opinion Research,C+,47,1719
2017-05-10,Gallup,B,38,1719
2017-05-10,Rasmussen Reports/Pulse Opinion Research,C+,48,1719
2017-05-10,YouGov,B,39,1719
2017-05-11,Ipsos,B-,42,1719
2017-05-12,Ipsos,B-,41.1,1719
2017-05-11,Morning Consult,B/C,45,1719
2017-05-11,Rasmussen Reports/Pulse Opinion Research,C+,45,1719
2017-05-11,Gallup,B,41,1719
2017-05-11,YouGov,B,40,1719
2017-05-13,Ipsos,B-,40.9,1719
2017-05-12,Gallup,B,40,1719
2017-05-12,YouGov,B,39,1719
2017-05-14,Ipsos,B-,40.9,1719
2017-05-13,YouGov,B,37,1719
2017-05-20,Morning Consult,B/C,48,1720
2017-05-14,Rasmussen Reports/Pulse Opinion Research,C+,44,1719
2017-05-13,Gallup,B,39,1719
2017-05-13,NBC News/The Wall Street Journal,A-,39,1719
2017-05-14,Morning Consult,B/C,43,1719
2017-05-14,Public Policy Polling,B,40,1719
2017-05-15,Rasmussen Reports/Pulse Opinion Research,C+,43,1720
2017-05-15,Ipsos,B-,39.6,1720
2017-05-14,Gallup,B,38,1719
2017-05-14,YouGov,B,37,1719
2017-05-16,Ipsos,B-,38.8,1720
2017-05-15,Gallup,B,38,1720
2017-05-15,YouGov,B,38,1720
2017-05-16,YouGov,B,37,1720
2017-05-17,Monmouth University,A+,39,1720
2017-05-16,Rasmussen Reports/Pulse Opinion Research,C+,44,1720
2017-05-18,SurveyMonkey,D-,40,1720
2017-05-16,Gallup,B,38,1720
2017-05-16,YouGov,B,39,1720
2017-05-17,Ipsos,B-,38.7,1720
2017-05-17,YouGov,B,39,1720
2017-05-17,Rasmussen Reports/Pulse Opinion Research,C+,44,1720
2017-05-18,Ipsos,B-,38,1720
2017-05-17,Gallup,B,38,1720
2017-05-18,Rasmussen Reports/Pulse Opinion Research,C+,44,1720
2017-05-19,Ipsos,B-,37,1720
2017-05-18,YouGov,B,36,1720
2017-05-18,icitizen,,29,1720
2017-05-18,Morning Consult,B/C,41,1720
2017-05-18,Gallup,B,38,1720
2017-05-20,Ipsos,B-,37.1,1720
2017-05-19,Gallup,B,37,1720
2017-05-19,YouGov,B,38,1720
2017-05-20,American Research Group,B,39,1720
2017-05-22,Kaiser Family Foundation,,37,1721
2017-05-20,Gallup,B,38,1720
2017-05-20,YouGov,B,36,1720
2017-05-21,Ipsos,B-,37.1,1720
2017-05-20,Harris Poll,C,45,1720
2017-05-21,Rasmussen Reports/Pulse Opinion Research,C+,44,1720
2017-05-21,YouGov,B,37,1720
2017-05-22,Ipsos,B-,36.6,1721
2017-05-23,Quinnipiac University,B+,37,1721
2017-05-22,Rasmussen Reports/Pulse Opinion Research,C+,46,1721
2017-05-21,Gallup,B,37,1720
2017-05-22,Morning Consult,B/C,46,1721
2017-05-23,Garin-Hart-Yang/Global Strategy Group,,40,1721
2017-05-23,Ipsos,B-,37.3,1721
2017-05-22,YouGov,B,36,1721
2017-05-22,Gallup,B,38,1721
2017-05-23,Rasmussen Reports/Pulse Opinion Research,C+,48,1721
2017-05-23,Fox News,A-,40,1721
2017-05-23,YouGov,B,39,1721
2017-05-25,SurveyMonkey,D-,42,1721
2017-05-24,Ipsos,B-,37.9,1721
2017-05-23,YouGov,B,39,1721
2017-05-23,Gallup,B,39,1721
2017-05-24,Gallup,B,39,1721
2017-05-25,Ipsos,B-,38.4,1721
2017-05-24,Rasmussen Reports/Pulse Opinion Research,C+,48,1721
2017-05-24,YouGov,B,38,1721
2017-05-25,icitizen,,29.1,1721
2017-05-25,Gallup,B,41,1721
2017-05-25,YouGov,B,39,1721
2017-05-25,Rasmussen Reports/Pulse Opinion Research,C+,46,1721
2017-05-26,Ipsos,B-,37.9,1721
2017-05-26,Gallup,B,41,1721
2017-05-27,Ipsos,B-,38.8,1721
2017-05-26,YouGov,B,37,1721
2017-05-28,Rasmussen Reports/Pulse Opinion Research,C+,45,1721
2017-05-27,YouGov,B,37,1721
2017-05-27,Gallup,B,42,1721
2017-05-28,Ipsos,B-,39.5,1721
2017-05-28,YouGov,B,41,1721
2017-05-29,Ipsos,B-,39.9,1722
2017-05-28,Gallup,B,42,1721
2017-05-29,Rasmussen Reports/Pulse Opinion Research,C+,44,1722
2017-05-30,Morning Consult,B/C,45,1722
2017-05-29,Gallup,B,41,1722
2017-05-30,Ipsos,B-,39.9,1722
2017-05-29,YouGov,B,39,1722
2017-05-30,YouGov,B,38,1722
